scorer,olamundoteste3,olamundoteste3,olamundoteste3,olamundoteste3,olamundoteste3,olamundoteste3,olamundoteste3,olamundoteste3
bodyparts,polegar,polegar,indicador,indicador,unha,unha,caneta,caneta
coords,x,y,x,y,x,y,x,y
labeled-data/olamundo/img0003.png,551.8861666210421,121.32221005566191,492.20188885847244,291.3815220366821,555.974130851355,167.92500228122998,347.4879551053928,105.78794598047261
labeled-data/olamundo/img0122.png,575.5963591568574,150.75555251391546,540.4398667761657,306.91578611187145,589.4954375399215,207.16945889223462,470.1268820147824,125.41017428597496
labeled-data/olamundo/img0128.png,584.5898804635459,133.5861027466009,551.8861666210421,288.9287434984944,596.8537731544849,184.27685920248194,475.8500319372205,114.7814672871612
labeled-data/olamundo/img0221.png,472.57966055297015,122.95739574778713,425.1592754813395,282.3880007299936,484.02596039784646,178.55370928004373,318.0546126471393,87.80090336709549
labeled-data/olamundo/img0285.png,405.5370471758372,109.058317364723,360.56944064239434,281.57040788393095,432.5176110959029,157.29629528241622,188.05735012318638,153.20833105210323
labeled-data/olamundo/img0293.png,393.2731544848982,112.32868874897338,351.57591933570575,285.65837211424395,421.88890409708915,158.93148097454144,171.70549320193442,156.47870243635361
labeled-data/olamundo/img0345.png,379.3740761018341,170.37778081941775,327.86572679989047,330.6259786476868,402.2666757915868,213.71020166073544,173.34067889405964,188.36482343279488
labeled-data/olamundo/img0444.png,363.0222191805821,124.59258143991235,272.26941326763387,291.3815220366821,363.0222191805821,185.0944520485445,107.11565836298928,53.462003832466394
labeled-data/olamundo/img0471.png,505.28337439547397,51.00922529427862,482.39077470572136,238.23798704261333,533.0815311616022,102.51757459622223,300.06757003376214,91.88886759740848
labeled-data/olamundo/img0515.png,493.83707455059766,64.0907108312802,494.6546673966602,228.42687288986215,535.5343096997901,105.78794598047261,304.15553426407513,126.22776713203751
labeled-data/olamundo/img0596.png,425.97686832740214,108.24072451866039,416.9833470207136,265.21855096267905,460.3157678620312,152.39073820604068,232.20736381056662,128.68054567022534
labeled-data/olamundo/img0694.png,389.1851902545852,72.26663929190613,390.00278310064783,230.06205858198734,418.6185327128387,108.24072451866039,168.43512181768403,167.92500228122998
labeled-data/olamundo/img0734.png,355.66388356601874,122.13980290172458,339.3120266447668,284.0231864221187,372.0157404872707,172.01296651154297,115.29158682361526,171.19537366548036
labeled-data/olamundo/img0751.png,349.9407336435806,117.23424582534898,322.14257687745226,292.1991148827447,372.8333333333333,167.92500228122998,80.13509444292359,195.72315904735825
labeled-data/olamundo/img0766.png,359.75184779633173,124.59258143991235,348.30554795145537,276.66485080755535,381.82685464002185,163.01944520485438,123.46751528424122,192.45278766310787
labeled-data/olamundo/img0799.png,296.79719864951176,127.04535997810012,260.8231134227575,296.28707911305764,325.4129482617027,170.37778081941775,18.815630988228804,210.439830276485
labeled-data/olamundo/img0931.png,40.07304498585634,284.84077926818134,,,129.1906652066794,327.35560726343635,,
labeled-data/olamundo/img0955.png,188.874942969249,89.43608905922065,103.8452869787389,262.7657724244912,228.11939958025363,154.02592389816584,,
